long_name,short_name,area,state,contact,email,url,phone,address
Alaska Railroad Corporation,ARRC,Anchorage,AK,Mr. Patrick Gamble (President and CEO),gamblep@akrr.com,http://www.akrr.com/,(907)265-2414,"327 West Ship Creek Avenue, Anchorage, AK 99510"
Municipality of Anchorage - Public Transportation Department,People Mover,Anchorage,AK,Ms. Jody Karcz (Public Transportation Director),KarczJM@ci.anchorage.ak.us,http://www.peoplemover.org/,(907)343-8402,"3650 A East Tudor Road, Building A, Anchorage, AK 99519"
"VPSI, Anchorage",,Anchorage,AK,Mr Jeffery Hanning (President and CEO),jeff.henning@vpsiinc.com,http://www.vpsiinc.com/,(248)597-3500,"310 K Street Suite 200, Anchorage, AK 99501"
Fairbanks North Star Borough Transit,MACS,Fairbanks,AK,Mr. Glenn Miller (Director),gmiller@co.fairbanks.ak.us,http://www.co.fairbanks.ak.us/,(907)459-1007,"3175 Peger Road, Fairbanks, AK 99709"
Targhee Regional Public Transit Authority,TRPTA,Idaho Falls,ID,Ms. Lynn Seymour (Executive Director),lynntrpta@yahoo.com,http://www.trpta.com/,(208)535-0356,"1810 W. Broadway #7, Idaho Falls, ID 83402"
Valley Regional Transit,VRT,Meridian,ID,Ms. Kelli Fairless (Executive Director),kfairless7@msn.com,http://www.valleyregionaltransit.org/,(208)846-8547 Ext:4212,"830 North Main Street Suite 230, Meridian, ID 83642"
City of Pocatello - Pocatello Regional Transit,PRT,Pocatello,ID,Mr. Ronald Binggeli (Director of Public Transit),rbinggeli@pocatello.us,http://www.pocatellotransit.com/,(208)234-6248,"911 North Seventh, Pocatello, ID 83205"
"City of Bend, Bend Area Transit",BAT,Bend,OR,Ms. Heather Ornelas (Transit Division Manager),hornelas@ci.bend.or.us,http://www.ci.bend.or.us/bend_area_transit/index.html,(541)317-3023,"1250 NE Bear Creek Rd, Bend, OR 97701"
Lane Transit District,LTD,Eugene,OR,Mr. Mark Pangborn (General Manager),mark.pangborn@ltd.org,http://www.ltd.org/,(541)682-6100,"3500 East 17th Avenue, Eugene, OR 97403"
Rogue Valley Transportation District,RVTD,Medford,OR,Ms. Julie Brown (General Manager),j.brown@rvtd.org,http://www.rvtd.org/,(541)779-5821,"3200 Crater Lake Avenue, Medford, OR 97504"
Tri-County Metropolitan Transportation District of Oregon,TriMet,Portland,OR,Mr. Frederic Hansen (General Manager),HansenF@trimet.org,http://www.trimet.org/,(503)962-4831,"4012 Southeast 17th Avenue, Portland, OR 97202"
Salem Area Mass Transit District,Cherriots,Salem,OR,Mr. Allan Pollock (General Manager),pollocka@cherriots.org,http://cherriots.org/,(503)588-2424 Ext:2550,"555 Court Street, N.E. Suite 5230, Salem, OR 97301"
South Metro Area Regional Transit,SMART,Wilsonville,OR,Ms. Cynthia Thompson (Transit Director),cynthia@bcbconsulting.net,http://www.ridesmart.com/,(503)570-1576,"29799 SW Town Center Loop E, Wilsonville, OR 97070"
Whatcom Transportation Authority,WTA,Bellingham,WA,Mr. Richard Walsh (General Manager),richardw@ridewta.com,http://www.ridewta.com/,(360)738-4581,"4111 Bakerview Spur, Bellingham, WA 98226"
Kitsap Transit,,Bremerton,WA,Mr. Richard Hayes (Executive Director),KTExecutive@KitsapTransit.com,http://kitsaptransit.org/,(360)478-6230,"60 Washington Ave. Suite 200, Bremerton, WA 98337"
Skagit Transit,,Burlington,WA,Mr. Dale O'Brien (Executive Director),dobrien@skagittransit.org,http://www.skagittransit.org/,(360)757-8801 Ext:204,"600 County Shop Lane, Burlington, WA 98233"
Everett Transit,ET,Everett,WA,Mr. Thomas Hingson (Transportation Services Director),thingson@ci.everett.wa.us,http://www.everettwa.org/transit/,(425)257-8939,"3225 Cedar Street, Everett, WA 98201"
Snohomish County Public Transportation Benefit Area Corporation,Community Transit,Everett,WA,Ms. Joyce Eleanor (Chief Executive Officer),joyce.Eleanor@commtrans.org,http://www.commtrans.org/,(425)348-7100,"7100 Hardeson Road, Everett, WA 98203"
Community Urban Bus Service,CUBS,Longview,WA,Mr. Robert Gregory (City Manager),bob.gregory@ci.longview.wa.us,http://www.cubs-bus.com/,(360)442-5001,"254 Oregon Way, Longview, WA 98632"
Intercity Transit,I.T.,Olympia,WA,Mr. Michael Harbour (General Manager),mharbour@intercitytransit.com,http://www.intercitytransit.com/,(360)786-8585 Ext:5855,"526 Southeast Pattison Street, Olympia, WA 98507"
Ben Franklin Transit,BFT,Richland,WA,Mr. Tim Fredrickson (General Manager),timjfred@bft.org,http://www.bft.org/,(509)734-5118,"1000 Columbia Park Trail, Richland, WA 99352"
Central Puget Sound Regional Transit Authority,ST,Seattle,WA,Ms. Joni Earl (Executive Director),earlj@soundtransit.org,http://www.soundtransit.org/,(206)398-5450,"401 South Jackson Street, Seattle, WA 98104"
City of Seattle - Seattle Center Monorail Transit,SMS,Seattle,WA,"Mr. Robert Nellams (Director, Seattle Center)",robert.nellams@seattle.gov,http://www.seattlemonorail.com/,(206)684-7330,"305 Harrison Street, Seattle, WA 98109"
King County Department of Transportation - Metro Transit Division,King County Metro,Seattle,WA,"Mr. Kevin Desmond (General Manager, Metro Transit Division)",kevin.desmond@kingcounty.gov,http://transit.metrokc.gov/,(206)684-1619,"201 South Jackson Street M.S. KSC-TR-0333, Seattle, WA 98104"
Washington State Ferries,WSF,Seattle,WA,"Mr. David Moseley (Assistant Secretary, Ferry Division)",MoseleD@wsdot.wa.gov,http://www.wsdot.wa.gov/ferries/index.cfm,(206)515-3401,"2901 Third Avenue, Seattle, WA 98121"
Spokane Transit Authority,STA,Spokane,WA,Ms. E. Susan Meyer (Chief Executive Officer),SMeyer@spokanetransit.com,http://spokanetransit.com/,(509)325-6000,"1230 West Boone Avenue, Spokane, WA 99201"
Pierce County Transportation Benefit Area Authority,Pierce Transit,Tacoma,WA,Ms. Lynne Griffith (Chief Executive Officer),lgriffith@piercetransit.org,http://www.piercetransit.org/,(253)581-8010,"3701 96th Street, S.W., Tacoma, WA 98499"
Pierce County Ferry Operations,Pierce County Ferry,University Place,WA,Mr. Brian Ziegler (Director of Public Works and Utilities),BZIEGLE@co.pierce.wa.us,http://www.co.pierce.wa.us/,(253)798-7250,"9850 - 64th Street West, University Place, WA 98467"
Clark County Public Transportation Benefit Area Authority,C-Tran,Vancouver,WA,Mr. Jeff Hamm (Executive Director/CEO),JeffH@C-TRAN.org,http://www.c-tran.com/,(360)696-4494 Ext:7303,"Vancouver, WA 98668"
Link Transit,,Wenatchee,WA,Mr. Richard DeRock (General Manager),richard@linktransit.com,http://www.linktransit.com/,(509)664-7610,"2700 Euclid Avenue, Wenatchee, WA 98801"
Yakima Transit,YT,Yakima,WA,"Mr. Richard Zais, Jr. (City Manager)",dzais@ci.yakima.wa.us,http://www.yakimatransit.org/,(509)575-6040,"2301 Fruitvale Boulevard, Yakima, WA 98902"
"New Britain Transportation Company, Inc.",,Berlin,CT,Mr. Peter Agostini (President),peter@nbt.bz,http://www.nbtrans.com/,(860)828-0511 Ext:12,"257 Woodlawn Road, Berlin, CT 06037"
Greater Bridgeport Transit Authority,GBTA,Bridgeport,CT,Mr. Ronald Kilcoyne (Chief Executive Officer),rkilcoyne@gogbt.com,http://www.gbtabus.com/,(203)366-7070 Ext:106,"One Cross Street, Bridgeport, CT 06610"
Housatonic Area Regional Transit,HART,Danbury,CT,Mr. Eric Bergstraesser (Executive Director),ericb@hartct.org,http://www.hartct.org/,(203)744-4070 Ext:132,"62 Federal Road, Danbury, CT 06810"
Valley Transit District,VTD,Derby,CT,Mr. Ed Pigman (Executive Director),mpandolfi@valleytransit.org,http://www.valleytransit.org/,(203)735-6824,"41 Main Street, Derby, CT 06418"
The Greater New Haven Transit District,GNHTD,Hamden,CT,Ms. Donna Carter (Executive Director),dcarter@gnhtd.org,http://www.gnhtd.org/,(203)288-6282 Ext:2517,"840 Sherman Avenue, Hamden, CT 06514"
Connecticut Transit - Hartford Division,CTTransit,Hartford,CT,Mr. David Lee (General Manager),dlee@cttransit.com,http://www.cttransit.com/,(860)522-8101 Ext:203,"100 Leibert Road, Hartford, CT 06141"
Connecticut Transit - New Haven Division,CTTRANSIT,Hartford,CT,Mr. David Lee (General Manager),dlee@cttransit.com,http://www.cttransit.com/,(860)522-8101 Ext:203,"100 Leibert Road, Hartford, CT 06141"
Connecticut Transit - Stamford Division,CTTransit,Hartford,CT,Mr. David Lee (General Manager),dlee@cttransit.com,http://www.cttransit.com/,(860)522-8101 Ext:203,"100 Leibert Road, Hartford, CT 06141"
Greater Hartford Transit District,GHTD,Hartford,CT,Ms. Vicki Shotland (Executive Director),vshotland@hartfordtransit.org,http://www.hartfordtransit.org/,(860)247-5329 Ext:3002,"One Union Place, Hartford, CT 06103"
Middletown Transit District,MTD,Middletown,CT,Mr. Thomas Cheeseman (Administrator),tcheeseman@mtdct.org,http://www.middletownareatransit.org/,(860)346-0212,"340 Main Street, Middletown, CT 06457"
